"ZCTA","Total_Doses","People_1_dose","People_all_doses"
"77987",26,18,8
"77988",81,56,25
"77990",136,88,48
"77991",98,54,44
"77993",8,0,0
"77994",47,28,19
"77995",1231,832,399
"78001",12,8,0
"78002",1240,831,409
"78003",1220,907,313
"78004",118,79,39
"78005",140,109,31
"78006",9631,6500,3131
"78007",21,16,0
"78008",65,37,28
"78009",1831,1244,587
"78010",300,196,104
"78011",221,147,74
"78012",29,23,6
"78013",1038,710,328
"78014",2141,1493,648
"78015",5744,3667,2077
"78016",1529,1099,430
"78017",664,493,171
"78019",525,340,185
"78021",21,14,7
"78022",1133,700,433
"78023",8344,5228,3116
"78024",272,202,70
"78025",506,362,144
"78026",801,527,274
"78027",80,60,20
"78028",6278,4342,1936
"78029",111,76,35
"78039",256,182,74
"78040",6817,4846,1971
"78041",14380,10032,4348
"78043",7519,5376,2143
"78044",139,107,32
"78045",20920,14677,6243
"78046",9182,6833,2349
"78050",97,60,37
"78052",1173,781,392
"78055",220,159,61
"78056",556,353,203
"78057",198,139,59
"78058",169,129,40
"78059",840,591,249
"78060",21,12,9
"78061",2183,1529,654
"78063",1483,975,508
"78064",2467,1572,895
"78065",1495,994,501
"78066",179,118,61
"78067",159,113,46
"78069",827,513,314
"78070",3691,2541,1150
"78071",740,452,288
"78072",119,81,38
"78073",1154,744,410
